event_id,province,purpose,lon,lat,10_precip_day_10,11_precip_day_11,12_precip_day_12,13_precip_day_13,1_precip_day_01,2_precip_day_02,3_precip_day_03,4_precip_day_04,5_precip_day_05,6_precip_day_06,7_precip_day_07,8_precip_day_08,9_precip_day_09,aspect,clay_content,elevation,flooded,slope
FL2021_10,Quang Binh,training,106.20390836996512,17.64017231849084,9.819999627768993,84.6099992133677,120.94999776780605,58.90999851748347,0.0,0.0,0.9299999810755253,0.0,0.0,8.289999909698963,121.55999716930091,70.01999884285033,221.01999609917402,14.699501037597656,29,25,0,1.2782877683639526
FL2021_10,Quang Binh,training,105.97888039129317,17.922602643818017,9.349999845027924,126.00999666750431,85.43999848514795,23.169999465346336,0.0,0.0,73.81999890133739,2.2399999648332596,0.0,1.4699999634176493,84.41999703273177,90.22999811172485,313.14999666437507,353.3392639160156,29,23,0,5.585005760192871
FL2021_10,Quang Binh,training,106.20013544577182,17.799982607535703,2.259999915957451,74.35999811068177,115.00999714434147,87.99999823793769,0.09999999403953552,0.0,0.8499999791383743,0.0,0.0,11.939999854192138,103.10999769344926,68.589998440817,212.37999444454908,35.831695556640625,28,47,0,6.07845401763916
FL2021_10,Quang Binh,training,106.35832876730527,17.908858419970986,16.21999964863062,91.18999742344022,106.86999685317278,31.089999040588737,0.12999999523162842,1.9699999913573265,2.0399999395012856,0.0,0.0,16.039999540895224,106.2799975425005,81.62999829649925,310.2599968165159,49.423492431640625,29,23,0,4.269759654998779
FL2021_10,Quang Binh,training,106.30874176362187,17.754977011801316,4.069999914616346,71.6999985948205,136.87999759986997,62.099998442456126,0.10999999940395355,0.0,0.08999999612569809,0.0,0.0,15.169999934732914,144.7099969945848,70.15999845787883,206.09999541193247,2.732525110244751,28,9,0,6.777552604675293
FL2021_10,Quang Binh,training,106.53942912858376,17.51674379845282,13.89999938569963,66.09999949857593,107.69999698549509,59.94999888725579,0.36999999545514584,1.349999962374568,1.3699999451637268,0.0,0.17999999597668648,22.019999330863357,175.02999618276954,55.73999901115894,192.12999414280057,270.0,27,17,0,1.9444386959075928
FL2021_10,Quang Binh,training,106.64587948975192,17.24724921321696,8.079999854788184,50.78999852761626,126.5599976927042,23.159999456256628,0.4299999959766865,2.7700000051409006,12.419999631121755,0.0,0.04999999888241291,18.94999978505075,203.75999524630606,73.25999846123159,129.84999680519104,170.10079956054688,32,49,0,1.8823392391204834
FL2021_10,Quang Binh,training,106.5254154101515,17.528601560203196,13.89999938569963,66.09999949857593,107.69999698549509,59.94999888725579,0.36999999545514584,1.349999962374568,1.3699999451637268,0.0,0.17999999597668648,22.019999330863357,175.02999618276954,55.73999901115894,192.12999414280057,64.50898742675781,26,14,0,0.7183303236961365
FL2021_10,Quang Binh,training,106.58497371348862,17.50219109085008,13.89999938569963,66.09999949857593,107.69999698549509,59.94999888725579,0.36999999545514584,1.349999962374568,1.3699999451637268,0.0,0.17999999597668648,22.019999330863357,175.02999618276954,55.73999901115894,192.12999414280057,249.11903381347656,29,16,0,1.7342602014541626
FL2021_10,Quang Binh,training,106.24002064438672,17.91263134416429,9.329999797046185,99.00999769940972,107.71999721229076,37.62999900430441,0.03999999910593033,0.0,4.1399998515844345,0.0,0.0,18.81999934092164,106.55999793484807,99.20999840274453,278.5399936437607,255.94212341308594,29,34,0,6.337978839874268
FL2021_10,Quang Binh,training,106.6531558435533,17.276624123007668,8.079999854788184,50.78999852761626,126.5599976927042,23.159999456256628,0.4299999959766865,2.7700000051409006,12.419999631121755,0.0,0.04999999888241291,18.94999978505075,203.75999524630606,73.25999846123159,129.84999680519104,72.34400177001953,32,15,0,3.055086612701416
FL2021_10,Quang Binh,training,106.5014303920655,17.466887300184183,8.399999663233757,57.329998563975096,119.21999707072973,28.899998974055052,0.2499999925494194,0.10999999940395355,3.6899999361485243,3.469999846071005,0.0,18.479999635368586,160.2099963016808,51.90999876707792,193.13999612256885,325.0505676269531,31,22,0,3.390711545944214
FL2021_10,Quang Binh,training,106.75583328052815,17.28497845514998,7.759999688714743,55.34999907575548,125.09999673441052,16.62999949976802,0.44999998435378075,3.0999999158084393,0.9299999754875898,0.0,0.0,26.969999246299267,200.9199971705675,78.59999851323664,168.5899970922619,237.52078247070312,25,5,0,1.1513060331344604
FL2021_10,Quang Binh,training,106.41438364103432,17.644214737269376,16.809999596327543,72.87999909929931,111.36999780125916,85.26999913156033,0.21999999321997166,0.1599999964237213,1.6599999368190765,0.0,0.36999999172985554,15.999999653548002,148.2899958975613,59.80999877676368,192.41999524831772,226.3799285888672,29,4,0,1.3441903591156006
FL2021_10,Quang Binh,training,106.26265818954653,17.605138022410177,9.819999627768993,84.6099992133677,120.94999776780605,58.90999851748347,0.0,0.0,0.9299999810755253,0.0,0.0,8.289999909698963,121.55999716930091,70.01999884285033,221.01999609917402,106.11067199707031,28,9,0,11.003966331481934
FL2021_10,Quang Binh,training,106.19744049991945,17.860888383799004,11.379999652504921,114.65999792329967,96.53999837115407,70.49999882280827,0.0,0.0,3.1099999602884054,0.0,0.1099999975413084,12.779999943450093,122.05999859794974,94.88999697566032,214.3599944114685,64.55017852783203,28,10,0,0.719415009021759
FL2021_10,Quang Binh,training,106.5270323776629,17.28821239017281,7.799999726936221,45.659998966380954,134.379998838529,17.05999950505793,0.019999999552965164,0.12999999709427357,25.939999183639884,0.07000000029802322,0.04999999888241291,14.29999958537519,184.12999769300222,67.24999779835343,117.17999821901321,270.0,31,4,0,0.9712811708450317
