elevation,slope,twi,stream_proximity,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,flood_label,event_date
2,2.9433465003967285,15.124830602302628,55.311783956949846,30,243.38390777166933,447.0274988338351,393.79178833961487,409.54358760640025,68.4775294745341,207.8176981806755,261.54458421468735,1,2020-10-12
5,2.091146230697632,12.70378124431635,615.1100819367265,60,231.16093840956455,552.0828503221273,259.1463849544525,362.1158655285835,90.23084025084972,201.7499189497903,310.0544180572033,1,2020-10-12
31,3.040670871734619,14.41838458483899,66.04012867361348,80,207.12183041125536,603.398211479187,336.24735617637634,459.740150809288,145.39111030474305,227.59280490875244,208.7536804974079,1,2020-10-12
-9999,2.677959442138672,11.609158860826959,1449.3712177531895,90,250.33441385813057,531.928966999054,329.20928597450256,499.7969061732292,103.34599695261568,205.63920215331018,204.34209260344505,1,2020-10-12
8,6.0744194984436035,10.092979199627427,850.5274646487431,40,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
2,2.091519594192505,18.33348743999624,12.34563677043773,40,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
2,2.091174602508545,11.67408700011279,854.9992171257037,40,245.7743087504059,537.2965126633644,305.37434339523315,474.4161864221096,94.22303246287629,225.56742068752646,206.68630743026733,1,2020-10-12
5,3.045844316482544,12.32652035913546,595.0674734320182,40,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
4,3.704791784286499,10.878953544419325,2635.664657782267,90,285.05844649043866,508.228683244437,304.81569933891296,482.6153656542301,134.09093302488327,230.80945965647697,159.16225443035364,1,2020-10-12
558,2.6765458583831787,16.31720097052867,30.55747026887254,80,157.16006331867538,558.8932433128357,205.350550532341,428.9621701836586,152.9647793881595,122.96675469726324,85.33849783241749,1,2020-10-12
4,0.9675887823104858,11.934040527930366,48.013578478185,40,243.38390777166933,447.0274988338351,393.79178833961487,409.54358760640025,68.4775294745341,207.8176981806755,261.54458421468735,1,2020-10-12
4,2.6794235706329346,11.607586165761743,881.383962597124,40,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
2,2.6784610748291016,10.510007360163975,677.4466125245192,40,245.7743087504059,537.2965126633644,305.37434339523315,474.4161864221096,94.22303246287629,225.56742068752646,206.68630743026733,1,2020-10-12
5,1.8543341159820557,10.879165981852909,503.89278190380367,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
4,2.6775970458984375,13.601977469334773,296.8056827638763,30,285.05844649043866,508.228683244437,304.81569933891296,482.6153656542301,134.09093302488327,230.80945965647697,159.16225443035364,1,2020-10-12
2,2.1443052291870117,11.98566143481618,288.3121403943797,40,250.33441385813057,531.928966999054,329.20928597450256,499.7969061732292,103.34599695261568,205.63920215331018,204.34209260344505,1,2020-10-12
7,2.144000768661499,10.733211415566798,2942.7887755697766,90,233.93373927869834,542.1912722289562,364.9991273880005,566.2305375039577,110.95451415330172,220.67587669193745,166.17773270606995,1,2020-10-12
4,1.9326648712158203,11.530580664539189,3513.9635074285675,80,285.05844649043866,508.228683244437,304.81569933891296,482.6153656542301,134.09093302488327,230.80945965647697,159.16225443035364,1,2020-10-12
2,1.3401647806167603,11.895868636358907,1288.3356977449112,40,250.00693822838366,454.4126080274582,427.82807898521423,567.0326998829842,82.16353802382946,182.0572436377406,260.7005934417248,1,2020-10-12
6,4.014094829559326,14.38116904368985,103.06010421274338,40,214.18546305783093,531.9115550518036,303.08442068099976,357.8945987224579,63.2081484682858,193.01613461971283,236.44990035891533,1,2020-10-12
4,0.9674159288406372,11.934393748893662,1050.6559254984645,40,243.38390777166933,447.0274988338351,393.79178833961487,409.54358760640025,68.4775294745341,207.8176981806755,261.54458421468735,1,2020-10-12
40,2.090528964996338,14.886650375364981,70.43084784113266,30,221.1248344995547,694.0358262062073,226.87143117189407,347.1388795375824,185.53650687634945,198.7400738298893,155.82217898219824,1,2020-10-12
10,8.308992385864258,12.080004048133365,100.18363038076235,80,245.7743087504059,537.2965126633644,305.37434339523315,474.4161864221096,94.22303246287629,225.56742068752646,206.68630743026733,1,2020-10-12
146,8.76705551147461,15.280904671425839,5.368450467249904,10,180.46452059037983,626.148401260376,197.52718770503998,405.7938176393509,116.92754951491952,184.33584916591644,113.29277044534683,1,2020-10-12
2,-9999,-9999,123.22847770807974,90,250.33441385813057,531.928966999054,329.20928597450256,499.7969061732292,103.34599695261568,205.63920215331018,204.34209260344505,1,2020-10-12
1,1.8543341159820557,15.516850494285496,80.31748135218353,90,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
4,8.514442443847656,10.733808839181465,799.5659193054796,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
2,2.9433186054229736,10.820859602167165,353.5271754770102,40,243.38390777166933,447.0274988338351,393.79178833961487,409.54358760640025,68.4775294745341,207.8176981806755,261.54458421468735,1,2020-10-12
3,2.1438987255096436,10.733315871192696,413.6870937934605,40,207.12183041125536,603.398211479187,336.24735617637634,459.740150809288,145.39111030474305,227.59280490875244,208.7536804974079,1,2020-10-12
2,1.3398113250732422,11.896626639745687,4703.586880305727,40,233.93373927869834,542.1912722289562,364.9991273880005,566.2305375039577,110.95451415330172,220.67587669193745,166.17773270606995,1,2020-10-12
18,2.90044903755188,11.528652610350267,983.9605765281319,90,229.21445401757956,358.28170692920685,404.03350710868835,432.8627983443439,49.692346847616136,172.26121950149536,262.5131178200245,1,2020-10-12
2,0.9670562148094177,13.139101354295098,3758.910834967686,90,233.93373927869834,542.1912722289562,364.9991273880005,566.2305375039577,110.95451415330172,220.67587669193745,166.17773270606995,1,2020-10-12
555,1.9311761856079102,16.76187514625271,105.36101025864815,80,157.16006331867538,558.8932433128357,205.350550532341,428.9621701836586,152.9647793881595,122.96675469726324,85.33849783241749,1,2020-10-12
5,2.1459014415740967,11.64755168607802,1444.123231353865,40,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
-9999,-9999,-9999,1702.4217970367222,40,250.00693822838366,454.4126080274582,427.82807898521423,567.0326998829842,82.16353802382946,182.0572436377406,260.7005934417248,1,2020-10-12
1,2.1438238620758057,10.733392775366394,813.5515843679021,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
3,1.3399174213409424,11.203250879662429,852.2965773902762,40,245.7743087504059,537.2965126633644,305.37434339523315,474.4161864221096,94.22303246287629,225.56742068752646,206.68630743026733,1,2020-10-12
6,-9999,-9999,701.7423005060426,40,214.18546305783093,531.9115550518036,303.08442068099976,357.8945987224579,63.2081484682858,193.01613461971283,236.44990035891533,1,2020-10-12
4,3.0407097339630127,10.789582892084717,603.9993799019317,40,298.17011373327114,514.4865689910948,309.65041756629944,324.2572810202837,146.83389616012573,264.89715257287025,147.88872964680195,1,2020-10-12
19,21.1998233795166,10.410024047073366,548.579845515555,30,231.16093840956455,552.0828503221273,259.1463849544525,362.1158655285835,90.23084025084972,201.7499189497903,310.0544180572033,1,2020-10-12
